nume,scor,data
Vlad,5,2026-06-24 12:51:30
Mihai,3,2026-06-24 12:52:07
vld,5,2026-06-24 13:25:30
vlad,5/5,2026-06-25 12:15:28
v,5/5,2026-06-25 12:40:59
abc,5/5,2026-06-25 13:50:33
Vlad,5/5,2026-06-26 09:26:59
Vlad,5/5,2026-06-26 09:27:13
vlad,5/5,2026-06-26 09:31:44
vlad,5/5,2026-06-26 09:34:54
vlad,2/5,2026-06-26 09:39:15
vlad,5/5,2026-06-26 09:43:24
vl,5/5,2026-06-26 09:43:43
vlad,5/5,2026-06-26 09:52:06
v,5/5,2026-06-26 10:00:47
v,5/5,2026-06-26 10:00:56
v,2/5,2026-06-26 10:28:39
vlad,1/5,2026-06-26 11:08:25
vlad,2/5,2026-06-26 11:11:14
vlad,1/5,2026-06-26 11:16:14
vlad,2/5,2026-06-26 11:42:51
vl,2/5,2026-07-01 07:51:50
vlad,0/5,2026-07-02 08:19:51
valad,1/5,2026-07-02 08:20:00
vlaf,3/5,2026-07-02 08:25:48
vla,2/5,2026-07-02 09:02:14
vla,4/5,2026-07-02 09:34:48
vlad,2/5,2026-07-02 09:37:03
